TradeDate,AdjClose
11/11/2004 0:00,117.86
11/12/2004 0:00,118.8
11/15/2004 0:00,118.73
11/16/2004 0:00,117.85
11/17/2004 0:00,118.58
11/18/2004 0:00,118.74
11/19/2004 0:00,117.42
11/22/2004 0:00,118.01
11/23/2004 0:00,118.16
11/24/2004 0:00,118.47
11/26/2004 0:00,118.35
11/29/2004 0:00,117.92
11/30/2004 0:00,117.83
12/1/2004 0:00,119.36
12/2/2004 0:00,119.36
12/3/2004 0:00,119.22
12/6/2004 0:00,119.21
12/7/2004 0:00,118.06
12/8/2004 0:00,118.75
12/9/2004 0:00,119.24
12/10/2004 0:00,119.2
12/13/2004 0:00,120.36
12/14/2004 0:00,120.69
12/15/2004 0:00,120.88
12/16/2004 0:00,120.85
12/17/2004 0:00,119.45
12/20/2004 0:00,119.47
12/21/2004 0:00,120.45
12/22/2004 0:00,120.78
12/23/2004 0:00,120.77
12/27/2004 0:00,120.47
12/28/2004 0:00,121.25
12/29/2004 0:00,121.36
12/30/2004 0:00,121.12
12/31/2004 0:00,120.8
1/3/2005 0:00,120.3
1/4/2005 0:00,118.83
1/5/2005 0:00,118.05
1/6/2005 0:00,118.61
1/7/2005 0:00,118.39
1/10/2005 0:00,118.96
1/11/2005 0:00,118.26
1/12/2005 0:00,118.57
1/13/2005 0:00,117.62
1/14/2005 0:00,118.24
1/18/2005 0:00,119.47
1/19/2005 0:00,118.22
1/20/2005 0:00,117.5
1/21/2005 0:00,116.78
1/24/2005 0:00,116.55
1/25/2005 0:00,116.88
1/26/2005 0:00,117.23
1/27/2005 0:00,117.46
1/28/2005 0:00,117.43
1/31/2005 0:00,118.15
2/1/2005 0:00,118.91
2/2/2005 0:00,119.32
2/3/2005 0:00,119.01
2/4/2005 0:00,120.23
2/7/2005 0:00,120.12
2/8/2005 0:00,120.24
2/9/2005 0:00,119.35
2/10/2005 0:00,119.8
2/11/2005 0:00,120.77
2/14/2005 0:00,120.69
2/15/2005 0:00,121.13
2/16/2005 0:00,121.21
2/17/2005 0:00,120.25
2/18/2005 0:00,120.39
2/22/2005 0:00,118.63
2/23/2005 0:00,119.45
2/24/2005 0:00,120.24
2/25/2005 0:00,121.39
2/28/2005 0:00,120.63
3/1/2005 0:00,121.24
3/2/2005 0:00,121.17
3/3/2005 0:00,121.25
3/4/2005 0:00,122.73
3/7/2005 0:00,122.8
3/8/2005 0:00,122.35
3/9/2005 0:00,120.97
3/10/2005 0:00,121.29
3/11/2005 0:00,120.39
3/14/2005 0:00,121.11
3/15/2005 0:00,120.14
3/16/2005 0:00,119.14
3/17/2005 0:00,119.35
3/18/2005 0:00,118.6
3/21/2005 0:00,118.13
3/22/2005 0:00,116.96
3/23/2005 0:00,117.03
3/24/2005 0:00,117.15
3/28/2005 0:00,117.32
3/29/2005 0:00,116.53
3/30/2005 0:00,118.17
3/31/2005 0:00,118
4/1/2005 0:00,117.37
4/4/2005 0:00,117.65
4/5/2005 0:00,118.19
4/6/2005 0:00,118.6
4/7/2005 0:00,119.25
4/8/2005 0:00,118
4/11/2005 0:00,118.09
4/12/2005 0:00,118.7
4/13/2005 0:00,117.3
4/14/2005 0:00,115.77
4/15/2005 0:00,114.15
4/18/2005 0:00,114.5
4/19/2005 0:00,115.41
4/20/2005 0:00,113.8
4/21/2005 0:00,116.01
